  I     	  II     	  PW     	  PW'
443.73	711.67	19.47	-61.04
470.58	797.42(R)	19.23	-61.04
418.7	788.57	18.98	-66.12
305.18	696.72	18.72	-66.12
177	561.83	18.45	-66.12
83.31	425.72	18.19	-66.12
43.64	312.81	17.92	-66.12
39.06	223.39	17.66	-61.04
35.4	147.4	17.42	-61.04
13.43	83.31	17.17	-55.95
-20.45	37.23	16.95	-55.95
-48.83	11.6	16.72	-55.95
-60.12	0	16.5	-55.95
-58.29	-8.85	16.28	-50.86
-53.41	-21.97	16.07	-55.95
-52.8	-37.54	15.85	-55.95
-54.63	-50.35	15.63	-50.86
-55.24	-57.37	15.42	-50.86
-53.41	-60.42	15.22	-45.78
-50.66	-63.78	15.04	-45.78
-48.83	-69.89	14.85	-55.95
-47.91	-77.82	14.63	-55.95
-46.39	-84.84	14.4	-55.95
-43.95	-87.89	14.18	-50.86
-39.98	-86.06	13.98	-35.61
-34.79	-82.09	13.84	0
-28.69	-79.65	13.84	30.52
-22.28	-80.87	13.96	66.12
-16.17	-85.75	14.22	86.47
-11.9	-90.94	14.57	101.73
-11.6	-94.3	14.97	86.47
-15.87	-94.91	15.32	66.12
-23.5	-93.38	15.58	20.35
-31.13	-90.03	15.67	-20.35
-35.4	-85.75	15.58	-55.95
-35.71	-81.18	15.36	-91.56
-32.96	-76.6	14.99	-96.64
-28.99	-72.94	14.61	-86.47
-25.33	-70.8	14.26	-71.21
-22.28	-71.11	13.98	-40.69
-20.75	-74.16	13.81	-5.09
-21.06	-79.65	13.79(A)	25.43
-22.58	-86.36	13.9	40.69
-24.41	-91.25	14.06	50.86
-24.72	-92.47	14.26	45.78
-23.8	-90.33	14.45	30.52
-22.28	-86.67	14.57	20.35
-21.36	-84.53	14.65	5.09
-20.75	-85.75	14.67	-5.09
-20.45	-91.25	14.65	-10.17
-19.84	-99.18	14.61	-15.26
-18.62	-107.73	14.55	-10.17
-16.78	-114.14	14.51	-5.09
-13.12	-115.66	14.49	-5.09
-7.32	-111.69	14.47	5.09
0	-103.45	14.49	5.09
7.63	-95.52	14.51	5.09
13.43	-92.47	14.53	10.17
16.48	-95.52	14.57	10.17
17.7	-102.84	14.61	10.17
19.23	-109.56	14.65	10.17
21.97	-112.92	14.69	10.17
27.47	-113.53	14.73	10.17
33.87	-113.83	14.77	5.09
40.28	-115.05	14.79	15.26
45.47	-115.97	14.85	10.17
48.83	-114.75	14.89	15.26
50.66	-109.86	14.95	20.35
51.57	-102.54	15.04	20.35
52.8	-94.91	15.12	15.26
54.63	-87.89	15.18	20.35
57.07	-80.87	15.26	15.26
59.81	-73.24	15.32	15.26
61.34	-64.7	15.38	10.17
61.04	-54.93	15.42	10.17
57.37	-43.03	15.46	10.17
50.35	-28.99	15.5	10.17
41.2	-12.82	15.54	10.17
32.96	2.75	15.58	15.26
27.16	13.43	15.65	20.35
23.5	17.4	15.73	25.43
20.14	14.65	15.83	30.52
15.56	9.46	15.95	40.69
9.77	5.8	16.11	50.86
3.36	6.41	16.32	55.95
-2.14	10.68	16.54	55.95
-6.71	15.26	16.76	61.04
-11.6	16.78	17.01	66.12
-15.87	12.21	17.27	55.95
-18.92	3.36	17.5	61.04
-20.75	-5.19	17.74	61.04
-21.67	-10.07	17.99	66.12
-23.19	-10.07	18.25	66.12
-25.94	-9.16	18.51	66.12
-29.3	-10.38	18.78	76.3
-32.65	-14.65	19.08	76.3
-35.4	-18.01	19.39	71.21
-37.84	-15.87	19.67	61.04
-39.37	-7.02	19.92	40.69
-39.06	5.19	20.08	25.43
-36.32	15.56	20.18	5.09
-31.43	19.23	20.2	-5.09
-27.16	16.48	20.18	-5.09
-25.33	10.99	20.16	10.17
-26.25	8.85	20.2	30.52
-27.47	12.51	20.33	71.21
-26.86	20.75	20.61	106.82
-23.5	28.69	21.04	132.25
-18.01	33.26	21.57	152.59
-12.21	34.18	22.18	157.68
-7.63	33.57	22.81	137.33
-3.97	34.18	23.36	111.9
-0.61	37.54	23.8	76.3
2.44	43.64	24.11	45.78
4.58	50.35	24.29	10.17
6.1	56.15	24.33	-10.17
8.24	59.51	24.29	-10.17
11.6	59.2	24.25	-15.26
15.56	54.93	24.19	0
17.7	47.61	24.19	20.35
15.87	38.45	24.27	25.43
10.38	28.38	24.37	40.69
3.36	18.31	24.54	40.69
-1.53	8.85	24.7	30.52
-3.36	0.61	24.82	15.26
-3.05	-6.1	 24.88(V)	-5.09
-3.05	-10.68	24.86	-30.52
-5.8	-13.73	24.74	-45.78
-10.68	-16.48	24.56	-61.04
-16.17	-19.53	24.31	-71.21
-20.75	-22.89	24.03	-66.12
-23.5	-25.33	23.76	-66.12
-24.72	-25.33	23.5	-55.95
-24.41	-23.19	23.28	-45.78
-24.11	-21.36	23.09	-40.69
-24.11	-21.67	22.93	-40.69
-24.72	-24.72	22.77	-40.69
-25.33	-27.16	22.6	-50.86
-25.33	-24.72	22.4	-61.04
-23.5	-15.56	22.16	-61.04
-19.84	-1.22	21.91	-76.3
-15.87	13.12	21.61	-71.21
-13.43	21.67	21.32	-76.3
-12.82	22.28	21.02	-66.12
-13.73	18.01	20.75	-71.21
-14.04	12.82	20.47	-61.04
-13.12	10.07	20.22	-61.04
-10.68	9.16	19.98	-55.95
-7.93	9.16	19.76	-61.04
-5.19	8.85	19.51	-61.04
-1.83	8.85	19.27	-71.21
3.66	8.54	18.98	-71.21
12.82	7.02	18.7	-71.21
25.02	5.8	18.41	-76.3
40.59	11.6	18.11	-71.21
61.65	36.32	17.82	-76.3
95.83	95.52	17.52	-71.21
153.81	200.5	17.23	-66.12
242.61	350.65	16.97	-66.12
353.39	528.26	16.7	-66.12
454.41	697.02	16.44	-55.95
501.1	810.85	16.22	-55.95
464.17	833.13(R)	15.99	-55.95
351.56	762.02	15.77	-50.86
210.88	629.27	15.56	-55.95
99.18	478.52	15.34	-50.86
48.83	343.63	15.14	-50.86
46.08	233.76	14.93	-50.86
52.8	143.43	14.73	-50.86
39.37	69.89	14.53	-55.95
6.1	16.78	14.3	-55.95
-28.08	-15.26	14.08	-55.95
-45.78	-34.18	13.86	-61.04
-47.3	-50.35	13.61	-61.04
-42.72	-68.66	13.37	-55.95
-41.5	-84.84	13.14	-50.86
-43.64	-93.69	12.94	-50.86
-45.17	-96.13	12.74	-45.78
-45.17	-96.44	12.55	-40.69
-45.78	-97.96	12.39	-40.69
-49.13	-98.88	12.23	-25.43
-54.93	-94.6	12.13	-10.17
-59.81	-83.92	12.09	20.35
-61.04	-70.8	12.17	45.78
-57.68	-59.81	12.35	86.47
-51.27	-53.41	12.7	106.82
-43.95	-51.57	13.12	122.07
-38.15	-53.1	13.61	106.82
-33.87	-57.98	14.04	86.47
-31.43	-65.61	14.38	30.52
-30.82	-75.38	14.51	-15.26
-32.35	-84.53	14.45	-61.04
-36.01	-90.33	14.2	-101.73
-41.2	-90.94	13.79	-106.82
-44.86	-87.89	13.37	-101.73
-45.47	-84.84	12.96	-66.12
-41.81	-83.92	12.7	-30.52
-35.4	-85.75	12.57	20.35
-28.69	-89.11	12.66	55.95
-23.19	-93.69	12.88	76.3
-20.45	-100.1	13.18	86.47
-19.53	-108.34	13.53	76.3
-19.23	-117.8	13.84	50.86
-19.23	-126.04	14.04	25.43
-18.92	-131.84	14.14	-10.17
-17.7	-135.19	14.1	-25.43
-15.56	-137.63	14	-35.61
-12.21	-140.08	13.86	-30.52
-9.46	-142.52	13.73	-20.35
-8.85	-144.65	13.65	-5.09
-10.07	-147.09	13.63	15.26
-12.82	-150.76	13.69	30.52
-14.04	-156.25	13.81	30.52
-12.21	-162.96	13.94	35.61
-7.63	-169.68	14.08	25.43
-3.66	-173.95	14.18	10.17
-2.44	-175.48	14.22	5.09
-3.97	-175.48	14.24	-10.17
-5.49	-175.48	14.2	-15.26
-3.36	-176.39	14.14	-15.26
3.66	-179.14	14.08	-5.09
12.51	-181.58	14.06	0
19.53	-181.88	14.06	15.26
22.58	-179.14	14.12	25.43
23.8	-173.03	14.22	30.52
26.55	-164.79	14.34	35.61
32.04	-156.25	14.49	40.69
36.93	-149.23	14.65	30.52
38.76	-144.04	14.77	20.35
37.54	-139.47	14.85	10.17
35.1	-134.58	14.89	5.09
34.79	-128.78	14.91	-10.17
36.01	-122.07	14.87(A)	-5.09
36.01	-114.14	14.85	-10.17
32.96	-104.68	14.81	0
28.99	-93.08	14.81	0
25.63	-78.43	14.81	15.26
23.5	-60.42	14.87	30.52
20.75	-40.28	14.99	40.69
16.17	-22.28	15.16	50.86
9.77	-9.77	15.36	61.04
4.27	-4.58	15.61	66.12
0.92	-4.88	15.87	76.3
-0.61	-7.93	16.17	76.3
-2.44	-10.38	16.48	81.38
-4.88	-10.99	16.81	81.38
-7.63	-10.07	17.13	81.38
-9.46	-7.93	17.46	81.38
-10.99	-5.8	17.78	86.47
-12.82	-3.66	18.13	86.47
-16.17	-3.36	18.47	86.47
-20.75	-4.58	18.82	91.56
-25.02	-7.32	19.19	96.64
-28.38	-10.38	19.57	96.64
-30.82	-12.82	19.96	91.56
-32.65	-13.12	20.33	96.64
-33.26	-10.38	20.71	86.47
-32.65	-5.19	21.06	76.3
-31.43	0.61	21.36	76.3
-31.13	5.49	21.67	71.21
-32.96	7.63	21.95	61.04
-36.32	7.63	22.2	61.04
-39.06	6.71	22.44	45.78
-39.37	7.32	22.62	45.78
-35.71	10.07	22.81	45.78
-28.69	14.34	22.99	61.04
-20.75	18.01	23.23	76.3
-15.56	19.84	23.54	106.82
-14.04	18.31	23.97	127.16
-14.95	14.04	24.48	142.42
-16.17	7.93	25.05	142.42
-15.26	0.31	25.62	142.42
-12.51	-8.24	26.19	116.99
-9.77	-17.09	26.65	86.47
-8.85	-24.72	27	66.12
-10.07	-29.91	27.26	35.61
-12.21	-32.04	27.41	15.26
-14.04	-31.74	27.47	10.17
-14.95	-30.82	27.51	10.17
-13.43	-30.21	27.55	20.35
-10.07	-29.6	27.63	25.43
-5.49	-28.38	27.73	30.52
-1.22	-26.55	27.85	40.69
1.83	-24.72	28.02	35.61
2.44	-23.5	28.16	30.52
1.83	-22.89	28.28	10.17
0.61	-22.58	 28.32(V)	-5.09
0	-21.97	28.3	-20.35
0.61	-21.06	28.22	-45.78
1.83	-20.14	28.04	-55.95
3.66	-19.23	27.81	-71.21
4.27	-18.01	27.53	-76.3
3.05	-18.01	27.22	-71.21
-0.92	-18.62	26.94	-71.21
-6.71	-19.84	26.65	-61.04
-12.21	-21.06	26.41	-55.95
-16.17	-21.36	26.19	-50.86
-17.4	-19.23	25.98	-45.78
-16.17	-15.26	25.8	-45.78
-14.34	-9.77	25.62	-50.86
-14.04	-4.27	25.41	-50.86
-16.48	-0.61	25.21	-61.04
-21.36	-0.31	24.96	-61.04
-26.25	-2.14	24.72	-66.12
-29.6	-4.58	24.46	-66.12
-28.99	-5.49	24.19	-66.12
-25.33	-4.58	23.93	-71.21
-20.14	-3.97	23.64	-71.21
-16.17	-4.27	23.36	-71.21
-15.87	-5.19	23.07	-71.21
-18.92	-3.97	22.79	-76.3
-23.19	1.22	22.48	-66.12
-26.25	8.54	22.22	-66.12
-26.86	14.95	21.95	-55.95
-26.25	17.09	21.73	-50.86
-25.94	14.34	21.53	-40.69
-26.25	8.54	21.36	-30.52
-25.63	2.75	21.24	-25.43
-22.89	-0.61	21.14	-20.35
-18.92	-1.83	21.06	-20.35
-15.87	-3.36	20.98	-30.52
-15.87	-7.32	20.85	-45.78
-18.62	-14.04	20.67	-55.95
-21.36	-21.97	20.45	-76.3
-22.28	-27.77	20.14	-81.38
-20.14	-29.6	19.82	-86.47
-16.17	-28.69	19.47	-81.38
-10.99	-27.47	19.15	-71.21
-5.19	-27.47	18.86	-50.86
0	-28.69	18.66	-35.61
3.05	-29.6	18.51	-15.26
3.05	-28.69	18.45	5.09
0	-25.02	18.47	15.26
-3.36	-20.14	18.54	25.43
-4.27	-15.56	18.64	30.52
-2.44	-13.12	18.76	30.52
0.31	-12.82	18.88	30.52
1.53	-14.04	19	25.43
0.61	-14.04	19.1	10.17
-0.92	-11.9	19.15	5.09
-1.83	-7.63	19.17	-15.26
-1.53	-2.44	19.1	-25.43
-1.22	2.14	19	-30.52
-0.92	4.27	18.88	-40.69
0.61	3.97	18.72	-45.78
7.02	3.97	18.54	-35.61
20.14	10.38	18.39	-30.52
41.5	33.87	18.27	-25.43
76.9	86.36	18.17	-15.26
134.28	177.61	18.11	-10.17
218.51	308.84	18.07	-5.09
321.66	465.7	18.05	0
415.65	616.46	18.05	10.17
460.21	719.91	18.09	10.17
427.55	742.49(R)	18.13	20.35
325.32	680.24	18.21	25.43
195.31	561.22	18.31	30.52
90.03	426.64	18.43	35.61
39.37	308.53	18.58	35.61
33.87	216.37	18.72	30.52
40.28	144.35	18.84	35.61
32.04	86.98	18.98	25.43
7.02	46.08	19.08	15.26
-20.75	21.97	19.15	10.17
-36.93	7.32	19.19	-5.09
-39.98	-7.63	19.17	-20.35
-37.84	-27.77	19.08	-40.69
-36.93	-48.83	18.92	-61.04
-39.06	-62.56	18.68	-71.21
-40.89	-65.61	18.39	-76.3
-41.2	-61.65	18.09	-81.38
-39.67	-57.37	17.76	-76.3
-36.93	-57.37	17.46	-50.86
-33.26	-63.17	17.25	-30.52
-30.21	-72.94	17.13	10.17
-29.3	-83.31	17.17	50.86
-31.13	-90.33	17.38	86.47
-33.57	-91.55	17.72	116.99
-34.48	-87.28	18.19	137.33
-32.65	-81.79	18.74	132.25
-28.99	-78.13	19.27	106.82
-25.63	-77.51	19.69	71.21
-24.11	-79.04	19.98	20.35
-24.72	-80.87	20.06	-25.43
-26.55	-81.79	19.96	-61.04
-28.99	-82.7	19.72	-76.3
-31.74	-84.84	19.41	-71.21
-34.79	-88.5	19.13	-45.78
-37.84	-93.69	18.94	-10.17
-40.28	-99.18	18.9	35.61
-41.5	-104.06	19.04	76.3
-41.2	-106.51	19.35	96.64
-39.06	-105.9	19.74	106.82
-36.93	-102.54	20.16	96.64
-35.71	-97.35	20.55	76.3
-35.4	-91.86	20.85	45.78
-35.71	-87.89	21.04	15.26
-35.71	-87.28	21.1	-10.17
-35.1	-89.72	21.06	-30.52
-34.18	-94.91	20.94	-40.69
-34.18	-101.32	20.77	-30.52
-35.4	-107.42	20.65	-25.43
-37.54	-112.3	20.55	-15.26
-39.37	-114.75	20.49	5.09
-39.06	-114.44	20.51	20.35
-36.01	-112.61	20.59	20.35
-30.52	-111.08	20.67	25.43
-24.72	-111.69	20.77	15.26
-19.53	-115.36	20.83	10.17
-16.17	-119.63	20.87	0
-13.43	-123.6	20.87	-5.09
-10.38	-126.04	20.85	-10.17
-7.32	-127.87	20.81	-5.09
-4.27	-130.31	20.79	-5.09
-2.44	-133.67	20.77	5.09
-2.14	-137.63	20.79	15.26
-2.14	-141.91	20.85	30.52
-1.83	-145.26	20.98	35.61
0.31	-147.09	21.12	50.86
4.58	-146.18	21.32	61.04
10.07	-142.52	21.57	66.12
15.87	-136.11	21.83	71.21
21.36	-127.87	22.12	71.21
25.94	-117.8	22.4	81.38
28.69	-107.12	22.73	81.38
29.6	-96.44	23.05	86.47
29.91	-85.75	23.4	96.64
30.52	-74.77	23.78	111.9
32.65	-64.39	24.23	116.99
35.1	-53.71	24.7	127.16
35.4	-44.25	25.21	132.25
32.35	-35.1	25.74	122.07
27.16	-25.02	26.23	111.9
22.58	-12.51	26.67	91.56
19.23	2.14	27.04	66.12
16.78	15.87	27.3	45.78
13.73	25.02	27.49	30.52
9.46	27.16	27.61	20.35
4.58	23.5	27.69	15.26
0.92	18.01	27.75	20.35
-1.83	14.04	27.83	15.26
-3.97	13.12	27.89	25.43
-6.41	13.12	28	25.43
-8.85	12.51	28.1	15.26
-11.29	11.29	28.16	10.17
-13.12	10.68	28.2	0
-14.04	12.51	28.2	0
-13.73	16.48	28.2	5.09
-12.21	21.06	28.22	25.43
-9.77	24.41	28.32	61.04
-7.93	26.86	28.57	106.82
-8.24	28.08	28.99	157.68
-10.99	28.08	29.62	193.29
-15.26	27.47	30.4	213.63
-18.92	26.25	31.25	208.54
-19.53	24.41	32.09	198.37
-17.09	22.89	32.88	178.03
-13.12	21.67	33.59	152.59
-8.54	20.14	34.2	137.33
-3.66	18.31	34.75	116.99
0.31	15.87	35.22	101.73
2.14	13.43	35.63	91.56
0.31	11.29	35.99	71.21
-4.88	10.07	36.28	50.86
-11.29	9.77	36.48	35.61
-15.26	10.07	36.62	10.17
-14.65	10.38	 36.66(V)	-10.17
-10.38	10.68	36.62	-20.35
-5.49	9.77	36.54	-30.52
-2.14	6.1	36.42	-35.61
-1.22	0	36.28	-30.52
-1.83	-7.93	36.15	-20.35
-2.14	-14.04	36.07	-15.26
-0.92	-14.95	36.01	-5.09
1.22	-11.6	35.99	10.17
4.27	-6.71	36.03	15.26
7.02	-4.88	36.09	20.35
7.63	-7.63	36.17	15.26
6.71	-13.12	36.24	15.26
5.19	-17.4	36.3	0
4.27	-18.62	36.3	-15.26
5.19	-16.17	36.24	-30.52
7.93	-12.51	36.11	-50.86
10.99	-9.16	35.91	-71.21
12.21	-6.41	35.63	-96.64
10.99	-3.05	35.24	-111.9
7.93	2.14	34.79	-127.16
5.19	7.93	34.28	-142.42
3.97	13.73	33.71	-152.59
4.58	18.62	33.1	-157.68
6.41	21.36	32.47	-167.85
7.93	23.19	31.8	-167.85
8.54	23.8	31.13	-167.85
7.63	23.8	30.46	-157.68
5.8	23.8	29.83	-147.51
2.75	24.72	29.24	-137.33
-0.61	26.25	28.69	-116.99
-3.36	28.08	28.22	-96.64
-4.58	29.3	27.83	-86.47
-4.27	30.52	27.49	-66.12
-3.05	32.04	27.22	-55.95
-2.14	33.87	27	-45.78
-2.14	34.18	26.82	-45.78
-2.75	30.82	26.63	-40.69
-3.05	23.8	26.47	-40.69
-2.75	15.26	26.31	-50.86
-2.75	7.93	26.1	-61.04
-3.97	3.05	25.86	-66.12
-6.71	-0.31	25.6	-71.21
-10.07	-3.97	25.31	-81.38
-12.82	-10.38	24.98	-86.47
-14.95	-20.45	24.64	-86.47
-15.87	-32.04	24.29	-81.38
-16.48	-41.81	23.97	-71.21
-17.09	-46.08	23.68	-66.12
-17.4	-44.56	23.42	-50.86
-17.09	-38.45	23.21	-45.78
-15.87	-32.04	23.03	-30.52
-14.04	-27.77	22.91	-25.43
-12.82	-28.08	22.81	-15.26
-12.51	-32.35	22.75	-15.26
-13.43	-38.15	22.69	-10.17
-14.65	-43.03	22.64	-20.35
-14.65	-44.86	22.56	-25.43
-12.82	-43.33	22.46	-45.78
-9.46	-39.37	22.28	-55.95
-6.1	-33.57	22.05	-76.3
-4.88	-27.77	21.75	-91.56
-6.41	-22.58	21.38	-101.73
-10.68	-19.23	20.98	-106.82
-14.95	-18.01	20.55	-106.82
-17.09	-18.01	20.12	-96.64
-15.87	-18.62	19.74	-76.3
-13.12	-19.23	19.43	-61.04
-11.29	-18.92	19.19	-35.61
-11.6	-17.09	19.04	-15.26
-13.12	-13.12	18.98	-5.09
-14.95	-8.54	18.96	5.09
-16.17	-5.19	18.98	10.17
-16.78	-4.88	19.02	5.09
-17.09	-7.02	19.04	0
-15.87	-8.24	19.04	-5.09
-14.04	-6.1	19.02	-15.26
-12.82	-0.31	18.96	-15.26
-13.43	7.02	18.9	-15.26
-15.26	13.73	18.84	-5.09
-15.56	18.31	18.82	5.09
-12.21	21.06	18.84	15.26
-5.49	21.06	18.9	30.52
2.14	17.4	19.02	35.61
7.63	10.07	19.17	35.61
9.77	0.31	19.31	35.61
9.46	-8.24	19.45	15.26
8.24	-13.12	19.51	0
7.02	-12.82	19.51	-20.35
5.49	-7.02	19.43	-35.61
2.75	1.83	19.29	-50.86
-1.22	10.07	19.08	-50.86
-5.19	15.26	18.88	-45.78
-7.63	15.87	18.7	-30.52
-7.02	12.51	18.58	-10.17
-4.27	7.93	18.54	10.17
-1.83	3.36	18.58	30.52
-2.14	-1.53	18.7	40.69
-5.8	-6.71	18.86	35.61
-10.38	-12.51	19	35.61
-12.51	-17.4	19.15	15.26
-10.07	-21.06	19.21	5.09
-4.88	-23.19	19.23	-10.17
-0.92	-24.11	19.19	-20.35
-1.22	-25.02	19.1	-15.26
-5.19	-25.94	19.04	-5.09
-10.38	-26.55	19.02	0
-14.95	-27.16	19.02	15.26
-17.7	-27.47	19.08	20.35
-19.53	-26.55	19.17	15.26
-20.45	-24.41	19.23	5.09
-20.14	-21.36	19.25	-5.09
-18.01	-18.01	19.23	-30.52
-14.95	-15.26	19.1	-50.86
-11.9	-13.43	18.9	-61.04
-10.38	-12.82	18.66	-66.12
-11.29	-13.73	18.39	-61.04
-13.12	-15.26	18.15	-50.86
-14.95	-16.48	17.94	-25.43
-15.87	-14.95	17.84	-10.17
-15.56	-10.07	17.8	15.26
-13.73	-3.36	17.86	30.52
-10.68	2.14	17.99	45.78
-7.02	4.58	18.17	55.95
-3.05	4.88	18.39	50.86
2.14	5.8	18.6	50.86
10.07	10.07	18.8	45.78
22.28	21.67	18.98	35.61
38.76	43.95	19.13	25.43
60.42	83.31	19.23	15.26
92.77	147.71	19.29	10.17
144.65	244.14	19.33	5.09
223.39	374.45	19.35	0
324.4	527.34	19.35	0
423.89	673.22	19.35	0
484.92	771.79	19.35	-5.09
477.91	789.79(R)	19.33	-10.17
402.83	721.13	19.29	-15.26
289.92	592.65	19.23	-25.43
184.33	445.56	19.13	-35.61
117.19	313.72	18.98	-40.69
88.5	209.96	18.82	-45.78
74.46	130.92	18.64	-35.61
53.71	72.02	18.49	-25.43
21.97	32.04	18.39	-15.26
-9.46	8.85	18.33	5.09
-28.38	-6.1	18.35	15.26
-33.26	-24.41	18.41	20.35
-31.74	-51.27	18.49	20.35
-32.65	-81.48	18.58	5.09
-38.15	-105.9	18.6	-20.35
-45.47	-118.41	18.51	-40.69
-51.27	-121.15	18.35	-61.04
-54.02	-120.54	18.11	-71.21
-53.41	-120.24	17.82	-71.21
-50.66	-120.24	17.54	-45.78
-47.91	-118.71	17.35	-20.35
-47	-115.66	17.27(A)	30.52
-47.61	-112	17.4	71.21
-49.44	-109.25	17.68	127.16
-50.35	-107.73	18.19	162.77
-49.13	-105.9	18.84	198.37
-46.69	-101.62	19.63	213.63
-45.17	-94.6	20.49	203.46
-45.47	-84.84	21.3	178.03
-47	-74.16	22.01	122.07
-48.22	-65.92	22.5	61.04
-47.61	-61.65	22.75	-10.17
-44.86	-61.65	22.71	-76.3
-42.11	-64.09	22.4	-111.9
-40.28	-65.92	21.95	-137.33
-39.98	-65.31	21.4	-132.25
-39.67	-63.78	20.87	-106.82
-38.45	-63.48	20.45	-66.12
-36.32	-66.22	20.18	-25.43
-35.1	-72.33	20.08	10.17
-35.4	-79.04	20.12	40.69
-36.62	-84.84	20.28	61.04
-37.23	-89.72	20.53	61.04
-36.62	-95.83	20.77	55.95
-35.71	-103.76	21	45.78
-35.4	-112.3	21.18	35.61
-36.32	-119.63	21.32	30.52
-36.93	-122.99	21.44	25.43
-35.71	-123.29	21.55	30.52
-32.35	-123.29	21.67	30.52
-28.38	-125.73	21.79	40.69
-25.33	-131.53	21.95	30.52
-24.11	-138.85	22.08	25.43
-23.8	-145.26	22.18	15.26
-23.8	-149.54	22.24	-5.09
-23.19	-152.59	22.22	-20.35
-21.67	-155.94	22.14	-30.52
-19.23	-160.22	22.01	-40.69
-16.17	-165.71	21.85	-30.52
-13.43	-171.2	21.73	-20.35
-11.29	-176.39	21.65	-10.17
-9.46	-181.27	21.61	15.26
-7.63	-185.55	21.67	25.43
-6.41	-187.07	21.77	40.69
-6.1	-184.33	21.93	45.78
-6.71	-175.78	22.12	50.86
-7.02	-163.27	22.32	45.78
-7.32	-149.54	22.5	35.61
-7.32	-137.63	22.64	35.61
-7.32	-127.56	22.79	40.69
-6.71	-118.1	22.95	40.69
-4.88	-106.51	23.11	55.95
-0.92	-92.16	23.34	61.04
3.66	-75.99	23.58	76.3
7.93	-59.2	23.89	76.3
12.51	-43.33	24.19	81.38
17.4	-28.69	24.52	71.21
22.28	-14.34	24.8	66.12
26.55	-0.61	25.07	55.95
27.77	12.21	25.29	50.86
26.25	22.89	25.49	40.69
22.89	30.21	25.66	45.78
20.14	33.87	25.84	35.61
18.31	34.18	25.98	40.69
16.17	32.35	26.14	45.78
12.82	29.3	26.33	45.78
8.85	26.25	26.51	50.86
4.88	23.8	26.71	61.04
2.44	21.67	26.96	76.3
0.61	19.53	27.26	91.56
0	17.09	27.63	96.64
0.31	14.04	28.02	111.9
2.14	10.68	28.46	111.9
5.19	6.71	28.91	106.82
7.93	3.05	29.34	106.82
7.93	0.31	29.77	86.47
6.1	-1.22	30.11	61.04
3.05	-2.14	30.36	40.69
0.31	-3.97	30.52	25.43
-0.92	-7.32	30.62	20.35
-0.61	-12.82	30.7	35.61
0.61	-18.01	30.84	61.04
2.14	-20.45	31.09	91.56
3.36	-16.78	31.45	116.99
3.97	-7.02	31.92	142.42
3.97	6.1	32.49	142.42
3.66	18.01	33.06	137.33
2.44	25.02	33.61	111.9
1.22	27.16	34.06	81.38
-0.31	26.25	34.38	45.78
-1.53	26.55	34.57	20.35
-2.44	29.3	34.65	0
-3.05	33.87	34.65	-10.17
-3.36	38.76	34.61	-10.17
-2.75	43.64	34.57	5.09
-1.53	47.3	34.59	10.17
0.31	49.74	34.63	30.52
2.44	50.66	34.75	35.61
3.97	49.13	34.89	45.78
4.58	46.39	35.08	35.61
4.58	43.64	35.22	35.61
5.19	41.81	35.36	25.43
6.71	41.5	35.46	10.17
9.46	42.72	 35.50(V)	0
11.6	45.17	35.5	-10.17
11.6	46.39	35.46	-15.26
9.77	44.56	35.4	-30.52
5.8	38.76	35.28	-45.78
2.14	29.91	35.1	-55.95
0.61	21.97	34.87	-71.21
1.22	17.4	34.59	-86.47
2.75	15.87	34.24	-101.73
3.36	15.26	33.84	-106.82
2.44	12.82	33.41	-111.9
0.92	8.54	32.96	-111.9
0	3.97	32.51	-101.73
0.31	0	32.11	-101.73
-0.92	-3.66	31.7	-91.56
-6.41	-7.63	31.33	-81.38
-15.87	-11.29	31.01	-81.38
-25.02	-13.43	30.68	-76.3
-29.6	-15.26	30.38	-71.21
-26.86	-17.7	30.09	-81.38
-19.53	-21.97	29.77	-86.47
-13.12	-26.86	29.42	-86.47
-11.29	-28.69	29.07	-91.56
-14.65	-22.89	28.71	-96.64
-19.53	-9.46	28.32	-96.64
-21.97	7.32	27.93	-91.56
-20.14	21.67	27.57	-91.56
-14.65	28.99	27.2	-81.38
-9.16	28.69	26.88	-76.3
-5.49	25.33	26.57	-76.3
-4.88	23.19	26.27	-76.3
-5.8	23.8	25.96	-76.3
-6.41	25.02	25.66	-76.3
-3.36	23.19	25.35	-81.38
4.88	18.31	25.03	-81.38
18.62	17.7	24.7	-76.3
37.54	32.04	24.39	-81.38
65	74.77	24.07	-76.3
108.64	157.47	23.76	-71.21
177.31	283.81	23.48	-71.21
273.13	446.78	23.19	-66.12
380.86	620.73	22.93	-61.04
465.09	764.47	22.69	-61.04
489.2	836.18(R)	22.44	-50.86
437.32	815.12	22.24	-55.95
328.67	714.72	22.01	-50.86
209.35	572.51	21.81	-45.78
122.99	427.86	21.63	-50.86
83.31	304.57	21.42	-45.78
71.41	205.99	21.24	-40.69
59.2	127.56	21.08	-40.69
33.87	68.05	20.92	-40.69
2.75	28.69	20.75	-40.69
-20.14	3.66	20.59	-40.69
-29.3	-15.87	20.43	-45.78
-31.43	-37.54	20.24	-55.95
-35.1	-60.12	20.02	-55.95
-42.42	-77.21	19.8	-66.12
-49.13	-85.14	19.53	-71.21
-52.8	-85.75	19.25	-71.21
-53.71	-85.45	18.96	-66.12
-54.32	-87.89	18.7	-55.95
-55.85	-91.55	18.47	-55.95
-57.37	-92.77	18.25	-45.78
